,p_nl,h_nl,p_fol,h_fol,label,e_pred,c_pred
363,A young girl in a blue leotard is jumping in the air,A young girl in a leotard colored in blue is jumping in the air,exists x. (YoungGirl(x) & BlueLeotard(x) & JumpingInAir(x)),all x. (YoungGirl(x) & WearsLeotard(x) & ColoredInBlue(x) -> JumpsInAir(x)),e,False,False
364,The young girl in blue is jumping in the air,A young girl in blue is jumping in the air,exists x. (YoungGirl(x) & Blue(x) & JumpingInAir(x)),all x. (YoungGirl(x) & Blue(x) -> JumpingInAir(x)),e,False,False
365,The bunch of men are playing rugby on a field full of mud,Some men are playing rugby,"all x.all y.all z. (Bunch(x) & Men(y) & Rugby(z) & Field(f) & FullOfMud(f) -> PlayingOn(y, z, f))",exists x. (Man(x) & PlayingRugby(x)),e,False,False
366,A person is looking at a bike designed for motocross that is lying on its side and another is racing by,The bike rider is looking at an accident of another bike rider,"all x. all y. all z. (Person(x) & Person(y) & Bike(z) & DesignedForMotocross(z) & LyingOnSide(z) & Racing(y, z) -> LookingAt(x, z))","all x.all y. (BikeRider(x) & BikeRider(y) & Accident(y) -> LookingAt(x, y))",n,False,False
367,There is no little boy wearing a green soccer strip and running on the grass,A little boy is wearing a green soccer strip and is running on the grass,not exists x. (LittleBoy(x) & WearingGreenSoccerStrip(x) & RunningOnGrass(x)),exists x. (LittleBoy(x) & WearingGreenSoccerStrip(x) & RunningOnGrass(x)),c,False,True
368,The man at the beach is not doing a handstand on the wet sand at the edge of the water,The man is doing a handstand on the wet sand at the edge of the water at the beach,all x. (Man(x) & AtBeach(x) -> not DoingHandstandOnWetSand(x)),"all x.all y.all z. (Man(x) & Handstand(y) & WetSand(z) & AtEdgeOfWater(x, z) -> Doing(x, y, z))",c,False,False
369,A young mother is playing with her boy in the park,A young boy is playing in the park with his mother,"all x.all y. (YoungMother(x) & Boy(y) & Park(z) -> PlaysWith(x, y, z))","all x.all y.all z. (YoungBoy(x) & Park(y) & Mother(z) & PlaysIn(x, y) -> With(x, z))",e,False,False
370,A man is spraying a super soaker into the mouth of a dog,There is no man spraying a super soaker into the mouth of a dog,"all x.all y. (Man(x) & SuperSoaker(x) & Dog(y) -> SpraysIntoMouth(x, y))",not exists x. (Man(x) & SprayingSuperSoaker(x) & IntoMouthOfDog(x)),c,False,False
371,There is no man spraying a super soaker into the mouth of a dog,A man is squirting water into the mouth of a white dog with a squirt gun,not exists x. (Man(x) & SprayingSuperSoaker(x) & IntoMouthOfDog(x)),"exists x. exists y. exists z. (Man(x) & Dog(y) & SquirtGun(z) & SquirtsWaterIntoMouth(x, y, z))",n,False,False
372,A boy under an umbrella is being held by his father who is wearing a blue coat,"A boy, who is wearing a blue coat, is being held by his father under an umbrella ","all x.all y.all z. (Boy(x) & Umbrella(y) & Father(z) & Holds(z, x, y) -> WearsBlueCoat(z))",all x. (Boy(x) & WearingBlueCoat(x) -> HeldByFatherUnderUmbrella(x)),n,False,False
373,A boy under an umbrella is being held by his father who is wearing a blue coat,A child is experiencing a new world,"all x.all y.all z. (Boy(x) & Umbrella(y) & Father(z) & Holds(z, x, y) -> WearsBlueCoat(z))",all x. (Child(x) -> ExperiencingNewWorld(x)),n,False,False
374,A dog is playing alone on a beach covered by snow,A dog is walking along a snowdrift,exists x. (Dog(x) & PlayingAlone(x) & OnBeach(x) & CoveredBySnow(x)),"exists x. exists y. (Dog(x) & Snowdrift(y) & WalkingAlong(x, y))",n,False,False
375,A surfer is riding a big wave across dark green water,The surfer is riding a small wave,"all x.all y.all z. (Surfer(x) & Wave(y) & Water(z) & Riding(x, y) & Big(y) & DarkGreen(z) -> Surfing(x, y, z))","exists x. exists y. (Surfer(x) & SmallWave(y) & Riding(x, y))",c,False,False
376,A tennis player is lunging to the left,A tennis player is jumping to the left,all x. (TennisPlayer(x) -> LungesToLeft(x)),"exists x. (TennisPlayer(x) & Jumping(x, Left))",e,False,False
377,Two dogs are looking at something that is splashing in the water,Some dogs are not playing in a stream,"exists x. exists y. exists z. (Dog(x) & Dog(y) & Splashing(z) & LookingAt(x, z) & LookingAt(y, z))",exists x. (Dog(x) & not PlayingInStream(x)),n,False,False
378,A man in a blue cowboy hat is riding a white horse,A man in blue is riding a horse on a dirt road,"all x.all y.all z. (Man(x) & BlueCowboyHat(x) & WhiteHorse(y) & HorseRider(x, y) -> Hat(x, z) & CowboyHat(z))","all x.all y.all z. (Man(x) & Blue(x) & Horse(y) & DirtRoad(z) -> RidingOn(x, y, z))",n,False,False
379,Two white dogs are playing with a brown dog and a tennis ball,Two white dogs are playing with a brown dog and a ball,"exists x. exists y. exists z. exists w. (WhiteDog(x) & WhiteDog(y) & BrownDog(z) & TennisBall(w) & PlayingWith(x, y, z, w))","exists x. exists y. exists z. exists w. (WhiteDog(x) & WhiteDog(y) & BrownDog(z) & Ball(w) & PlayingWith(x, y, z, w))",e,False,False
380,A person in a pink jacket is running onto the field,Four athletes are with a woman in a crowded stadium,all x. (Person(x) & WearsPinkJacket(x) -> RunsOntoField(x)),"exists x.exists y.exists z.exists w. (Athlete(x) & Athlete(y) & Athlete(z) & Athlete(w) & Woman(w) & With(x, y, z, w) & CrowdedStadium(x, y, z, w))",n,False,False
381,A woman dressed in elegant clothing is inside a crowd of people and is looking up,A woman dressed in elegant clothing is inside a crowd of people and is looking down,"all x. (Woman(x) & DressedInElegantClothing(x) -> (exists y. (Crowd(y) & Inside(x, y)) & LookingUp(x)))",all x. (Woman(x) & DressedInElegantClothing(x) -> (InsideCrowd(x) & LookingDown(x))),n,False,False
382,An Asian woman is holding a fur scarf,An elegant woman is inside a crowd of people and is looking down,"exists x. (AsianWoman(x) & exists y. (FurScarf(y) & Holding(x, y)))","all x. (ElegantWoman(x) -> (exists y. (Crowd(y) & Inside(x, y)) & LookingDown(x)))",n,False,False
383,A kid in a white t-shirt is splashing in shallow water,A boy is running through the water at the beach,all x. (Kid(x) & WearingWhiteTShirt(x) -> SplashingInShallowWater(x)),exists x. (Boy(x) & Running(x) & ThroughWater(x) & AtBeach(x)),n,False,False
384,A girl is running through the water at the beach,A boy in a white t-shirt is splashing in shallow water,exists x. (Girl(x) & Running(x) & ThroughWater(x) & AtBeach(x)),all x. (Boy(x) & WearingWhiteTShirt(x) -> SplashingInShallowWater(x)),n,False,False
385,A boy in a white t-shirt is splashing in shallow water,A boy is running through the water at the beach,all x. (Boy(x) & WearingWhiteTShirt(x) -> SplashingInShallowWater(x)),exists x. (Boy(x) & Running(x) & ThroughWater(x) & AtBeach(x)),n,False,False
386,The kids are not wearing suits and water is splashing around,Children in swimming suits are playing in the water,not exists x. (Kid(x) & WearingSuit(x)) & exists y. (Water(y) & Splashing(y)),all x. (Child(x) & WearingSwimmingSuit(x) -> PlayingInWater(x)),n,False,False
387,"A young girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on her head","A little girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on the head",exists x. (YoungGirl(x) & WearingBluePatternedSwimSuit(x) & WearingBlackAndYellowSwimCap(x) & WearingBlueSwimmingGoggles(x)),exists x. (LittleGirl(x) & WearingBluePatternedSwimSuit(x) & WearingBlackAndYellowSwimCap(x) & WearingBlueSwimmingGoggles(x)),e,False,False
388,A female cheerleader is sitting on the knee of a male cheerleader,Some cheerleaders are relaxing,"all x.all y. (FemaleCheerleader(x) & MaleCheerleader(y) -> SittingOnKnee(x, y))",exists x. (Cheerleader(x) & Relaxing(x)),n,False,False
389,"The girl has red hair and eyebrows, several piercings in a ear and a drawing on the back","The girl has red hair and eyebrows, several piercings in a ear and a tattoo on the back",all x. (Girl(x) -> (RedHair(x) & RedEyebrows(x) & PiercingsInEar(x) & DrawingOnBack(x))),all x. (Girl(x) -> (RedHair(x) & RedEyebrows(x) & PiercingsInEar(x) & TattooOnBack(x))),e,False,False
390,"The girl has red hair and eyebrows, several piercings in a ear and no tattoo on the back",A girl with red hair and red eyebrows is in midspeech,all x. (Girl(x) -> (RedHair(x) & RedEyebrows(x) & PiercingsInEar(x) & not TattooOnBack(x))),all x. (Girl(x) & RedHair(x) & RedEyebrows(x) -> Midspeech(x)),n,False,False
391,Two people are driving a jeep and a lady is sitting on the top of it,Two people are driving a jeep and a girl is sitting on the top of it,"exists x. exists y. exists z. (Person(x) & Person(y) & Jeep(z) & Driving(x, z) & Driving(y, z) & Lady(z) & SittingOnTop(z))","exists x. exists y. exists z. (Person(x) & Person(y) & Jeep(z) & Driving(x, z) & Driving(y, z) & Girl(z) & SittingOnTop(z))",e,False,False
392,A girl has colored patches on the cheeks,A girl is standing in a group and is wearing a black shirt and pink beads,all x. (Girl(x) -> HasColoredPatchesOnCheeks(x)),exists x. (Girl(x) & StandingInGroup(x) & WearingBlackShirt(x) & WearingPinkBeads(x)),n,False,False
393,Two dogs are running through water,Two dogs are running through high grass,exists x. exists y. (Dog(x) & Dog(y) & RunningThroughWater(x) & RunningThroughWater(y)),exists x. exists y. (Dog(x) & Dog(y) & RunningThroughHighGrass(x) & RunningThroughHighGrass(y)),n,False,False
394,Some people and vehicles are on a crowded street,Some people and vehicles are on a almost empty street,exists x.exists y.exists z. (Person(x) & Person(y) & Person(z) & Vehicle(x) & Vehicle(y) & Vehicle(z) & CrowdedStreet(x) & CrowdedStreet(y) & CrowdedStreet(z)),"exists x.exists y. (Person(x) & Vehicle(y) & OnStreet(x, y) & AlmostEmpty(y))",c,False,False
395,A young girl with painted face is standing next to some other children,Children are being dressed in costumes and playing a game,"all x.all y. (YoungGirl(x) & PaintedFace(x) & Child(y) -> StandingNextTo(x, y))","all x.all y.all z. (Child(x) & Costume(y) & Game(z) -> DressedIn(x, y) & Playing(x, z))",n,False,False
396,There is no bmx biker jumping dirt ramps in front of a body of water,Two bmx bikers are jumping dirt ramps in front of a body of water,not exists x. (BmxBiker(x) & JumpingDirtRamps(x) & InFrontOfBodyOfWater(x)),"exists x. exists y. exists z. (BmxBiker(x) & BmxBiker(y) & DirtRamp(z) & Jumping(x, z) & Jumping(y, z))",c,False,False
397,A man is doing a trick on a skateboard,A person is doing a trick on a skateboard,"exists x. exists y. (Man(x) & Skateboard(y) & DoingTrickOn(x, y))","all x. all y. (Person(x) & Skateboard(y) -> DoingTrickOn(x, y))",e,False,False
398,A man in a motocross uniform is wearing a helmet and rides a red motorcycle,A person in a motocross uniform is wearing a helmet and rides a red motorcycle,all x. (Man(x) & WearsMotocrossUniform(x) -> (WearsHelmet(x) & RidesRedMotorcycle(x))),all x. (Person(x) & WearsMotocrossUniform(x) -> (WearsHelmet(x) & RidesRedMotorcycle(x))),e,False,False
399,A boy in a striped shirt is jumping behind a water fountain,A boy in a striped shirt is jumping in front of a water fountain,"all x.all y. (Boy(x) & StripedShirt(x) & WaterFountain(y) -> JumpsBehind(x, y))","all x.all y. (Boy(x) & StripedShirt(x) & WaterFountain(y) -> JumpsInFrontOf(x, y))",n,False,False
400,"Two large dogs, a light colored one and a dark one, are sleeping on a snowy terrain",Two dogs are leaping through snowy grass and rocks,"exists x. exists y. (Dog(x) & Dog(y) & Large(x) & Large(y) & LightColored(x) & Dark(y) & SleepingOn(x, y, SnowyTerrain))",exists x. exists y. (Dog(x) & Dog(y) & Leaping(x) & Leaping(y) & SnowyGrass(x) & SnowyGrass(y) & Rocks(x) & Rocks(y)),n,False,False
401,A girl in blue is sliding down a green slide,The young girl in blue is enjoying a slide,"all x.all y.all z. (Girl(x) & Blue(x) & GreenSlide(y) & Slide(z) -> SlidingDown(x, y, z))",all x. (YoungGirl(x) & WearingBlue(x) -> EnjoyingSlide(x)),e,False,False
402,A white man is walking next to a building in a big city,A black man is walking next to a building in a big city,"exists x. exists y. exists z. (WhiteMan(x) & Building(y) & BigCity(z) & WalkingNextTo(x, y, z))","exists x. exists y. exists z. (BlackMan(x) & Building(y) & BigCity(z) & WalkingNextTo(x, y, z))",n,False,False
403,A man with no hat is sitting on the ground,A man with a backwards hat is sitting on the ground,all x. (Man(x) & not HasHat(x) -> SittingOnGround(x)),all x. (Man(x) & WearsBackwardsHat(x) -> SittingOnGround(x)),n,False,False
404,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of an old man with grey hair,A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair,"all x.all y.all z. (Girl(x) & BlueSweater(x) & MulticolorToy(y) & OldMan(z) & GreyHair(z) -> (Holding(x, y) & SittingOnShoulders(x, z)))","all x.all y.all z. (Girl(x) & BlueSweater(x) & MulticolorToy(y) & Man(z) & GreyHair(z) -> (Holding(x, y) & SittingOnShoulders(x, z)))",e,False,False
405,The man is going into the water,The person is going into the sea,all x. (Man(x) -> GoesIntoWater(x)),all x. (Person(x) -> GoingIntoSea(x)),n,False,False
406,Two people are sitting on a park bench on a sunny day,Two people are sitting on a park bench on a hot day,"exists x. exists y. (Person(x) & Person(y) & ParkBench(x) & ParkBench(y) & SittingOn(x, y) & SittingOn(y, x) & SunnyDay(x) & SunnyDay(y))",exists x. exists y. (Person(x) & Person(y) & ParkBench(x) & ParkBench(y) & HotDay(x) & HotDay(y)),n,False,False
407,The child is splashing water in a big red pool,A toddler is making a splash inside a blue paddling pool,"exists x. exists y. exists z. (Child(x) & Water(y) & Pool(z) & SplashingIn(x, y, z))","exists x. exists y. (Toddler(x) & BluePaddlingPool(y) & MakingSplashInside(x, y))",n,False,False
408,A grey silky dog is lying in the grass and a brown dog is looking on,The brown dog is spotting a black dog lying in the dry grass,"exists x. exists y. (GreySilkyDog(x) & BrownDog(y) & LyingInGrass(x) & LookingOn(y, x))","exists x. exists y. (BrownDog(x) & BlackDog(y) & Spotting(x, y) & LyingInDryGrass(y))",n,False,False
409,A black dog and a small white and black dog are looking up at a kitchen countertop,A large dog and a small dog are standing next to the kitchen counter and are investigating,"all x.all y.all z. (BlackDog(x) & SmallWhiteAndBlackDog(y) & KitchenCountertop(z) -> LookingAt(x, y, z))","all x.all y.all z. (LargeDog(x) & SmallDog(y) & KitchenCounter(z) -> (StandingNextTo(x, z) & StandingNextTo(y, z) & Investigating(x, y, z)))",e,False,False
410,A man is not rock climbing and a city and a bay are in the background,A man is rock climbing and a city and a bay are in the background,exists x. (Man(x) & not RockClimbing(x)) & exists y. (City(y) & InBackground(y)) & exists z. (Bay(z) & InBackground(z)),exists x. (Man(x) & RockClimbing(x)) & exists y. (City(y) & InBackground(y)) & exists z. (Bay(z) & InBackground(z)),c,False,False
411,"A man is rock climbing, pausing and calculating the route","A man is rock climbing, stopping and calculating the route",all x. (Man(x) -> (RockClimbing(x) & Pausing(x) & CalculatingRoute(x))),all x. (Man(x) -> (RockClimbing(x) & Stops(x) & CalculatesRoute(x))),e,False,False
412,No group of people is gathering at a stand at the fair,The people are standing at a carnival,not exists x. (GroupOfPeople(x) & GatheringAtStand(x)),"all x. (Person(x) -> exists y. (Carnival(y) & StandingAt(x, y)))",n,False,False
413,A group of rollerbladers is lining up on the street,A group of rollerbladers is lining up on the road,all x. (RollerbladerGroup(x) -> LiningUpOnStreet(x)),all x. (RollerbladerGroup(x) -> LiningUpOnRoad(x)),e,False,False
414,A skateboarder is jumping off a ramp,A skateboarder is making a jump off a ramp,"all x. all y. (Skateboarder(x) & Ramp(y) -> JumpsOff(x, y))","all x.all y.all z. (Skateboarder(x) & Ramp(y) & Jump(z) -> Makes(x, y, z))",e,False,False
415,Two white dogs are quickly running together,Two white dogs are running together,"exists x. exists y. (WhiteDog(x) & WhiteDog(y) & QuicklyRunningTogether(x, y))","exists x. exists y. (Dog(x) & Dog(y) & White(x) & White(y) & RunningTogether(x, y))",e,False,False
416,A group of people are standing around a sound mixing table,Some people is looking at sound equipment,"exists x.exists y.exists z. (Group(x) & Person(y) & SoundMixingTable(z) & StandingAround(y, z))",exists x. (Person(x) & LookingAtSoundEquipment(x)),e,False,False
417,A girl is skipping rope on a sidewalk,A girl is skipping rope on near a street,"exists x. exists y. exists z. (Girl(x) & Rope(y) & Sidewalk(z) & Skip(x, y, z))",exists x. (Girl(x) & SkippingRope(x) & NearStreet(x)),e,False,False
418,A girl is jumping rope on a sidewalk near a parking garage,A girl is skipping rope on near a street,"exists x. exists y. exists z. (Girl(x) & JumpingRope(x) & Sidewalk(y) & ParkingGarage(z) & Near(x, y) & Near(x, z))",exists x. (Girl(x) & SkippingRope(x) & NearStreet(x)),n,False,False
419,A dog is swimming in a body of water,An animal is swimming in a body of water,"exists x. exists y. (Dog(x) & BodyOfWater(y) & SwimmingIn(x, y))","all x. all y. (Animal(x) & BodyOfWater(y) -> SwimmingIn(x, y))",e,False,False
420,A woman is leaning on the ledge of a balcony,A man is leaning on the ledge of a balcony,"exists x. (Woman(x) & LeaningOnLedge(x, Balcony))",exists x. (Man(x) & LeaningOnBalconyLedge(x)),n,False,False
421,A small white dog is running across a lawn,A big white dog is running across a lawn,"exists x. (Dog(x) & Small(x) & White(x) & RunningAcross(x, lawn))","exists x. (Dog(x) & Big(x) & White(x) & RunningAcross(x, lawn))",n,False,False
422,A small group of people are standing and two are sitting on the sofa,A group of five young adults are lounging indoors,exists x.exists y.exists z. (Person(x) & Person(y) & Person(z) & Standing(x) & Standing(y) & SittingOnSofa(z)),exists x. (Group(x) & YoungAdults(x) & Lounging(x) & Indoors(x)),n,False,False
423,A young girl in a bikini is jumping on the beach,A young girl in swimming suite is jumping on the beach,all x. (YoungGirl(x) & WearingBikini(x) -> JumpingOnBeach(x)),all x. (YoungGirl(x) & InSwimmingSuite(x) -> JumpsOnBeach(x)),e,False,False
424,A blond child is going down a slide and throwing up his arms,A child with dark hair is going down a slide and throwing up his arms,all x. (BlondChild(x) -> (GoingDownSlide(x) & ThrowingUpArms(x))),all x. (Child(x) & DarkHair(x) -> (GoingDownSlide(x) & ThrowingUpArms(x))),c,False,False
425,Two dogs are playing in a forest,A brown dog is running after a black dog on a rocky shore,"exists x. exists y. (Dog(x) & Dog(y) & PlayingIn(x, y, Forest))","all x.all y.all z. (BrownDog(x) & BlackDog(y) & RockyShore(z) -> RunningAfter(x, y, z))",n,False,False
426,A white dog is approaching a golden dog on pebbly beach,Two dogs are playing on a rocky beach,"all x.all y. (WhiteDog(x) & GoldenDog(y) & PebblyBeach(z) -> Approaching(x, y, z))",exists x. exists y. (Dog(x) & Dog(y) & PlayingOnRockyBeach(x) & PlayingOnRockyBeach(y)),n,False,False
427,Two young girls are wearing hats and sticking their colored tongues out,Two kids are sticking out blue and green colored tongues,exists x. exists y. (YoungGirl(x) & YoungGirl(y) & WearingHat(x) & WearingHat(y) & StickingTongueOut(x) & StickingTongueOut(y)),exists x. exists y. (Kid(x) & Kid(y) & StickingOutBlueTongue(x) & StickingOutGreenTongue(y)),n,False,False
428,Two boys are laying in the ocean close to the beach,Two boys are laying in the water close to the beach,exists x. exists y. (Boy(x) & Boy(y) & LayingInOcean(x) & LayingInOcean(y) & CloseToBeach(x) & CloseToBeach(y)),exists x. exists y. (Boy(x) & Boy(y) & LayingInWater(x) & LayingInWater(y) & CloseToBeach(x) & CloseToBeach(y)),e,False,False
429,A large man is sitting in a military accessories store,A veteran is showing different things from a war to some people,"exists x. (LargeMan(x) & SittingIn(x, MilitaryAccessoriesStore))","all x. all y. all z. (Veteran(x) & War(y) & Person(z) -> Shows(x, y, z))",n,False,False
430,A dog with a blue collar is playing with the ball outside,A grey dog is bouncing a soccer ball on its head in a grass field,all x. (Dog(x) & HasBlueCollar(x) -> PlayingWithBallOutside(x)),"all x.all y.all z. (GreyDog(x) & SoccerBall(y) & GrassField(z) -> BouncingOnHead(x, y, z))",n,False,False
431,A young woman with Indian clothing and henna on her hand is going through paperwork,A woman is wearing a colorful shirt and a lot of jewelry,all x. (YoungWoman(x) & IndianClothing(x) & HennaOnHand(x) -> GoingThroughPaperwork(x)),"exists x. (Woman(x) & exists y. (ColorfulShirt(y) & Wears(x, y)) & exists z. (Jewelry(z) & Wears(x, z)))",n,False,False
432,A man in a jersey which is black is standing in a gym,A man in a black jersey is standing in a gym,"all x.all y. (Man(x) & Jersey(y) & Wears(x, y) & Black(y) -> exists z. (Gym(z) & StandingIn(x, z)))","all x. (Man(x) & WearsBlackJersey(x) -> exists y. (Gym(y) & StandingIn(x, y)))",e,False,False
433,A man in a black jersey is standing in a gym,A man is standing in a gym and is wearing a jersey,"all x. (Man(x) & WearsBlackJersey(x) -> exists y. (Gym(y) & StandingIn(x, y)))",exists x. (Man(x) & StandingInGym(x) & WearingJersey(x)),e,False,False
434,A little brown and white dog is running on the sidewalk,A little brown and white dog is running on the road,exists x. (Dog(x) & Little(x) & Brown(x) & White(x) & RunningOnSidewalk(x)),exists x. (Dog(x) & Little(x) & Brown(x) & White(x) & RunningOnRoad(x)),n,False,False
435,A dog is turning on the grass and pursuing a flying tennis ball,A yellow dog is chasing a ball,all x. (Dog(x) -> (TurningOnGrass(x) & PursuingFlyingTennisBall(x))),"all x.all y. (YellowDog(x) & Ball(y) -> Chasing(x, y))",n,False,False
436,A woman in blue jeans is standing in front of a group of children beside a stone built house,No lady is standing on the street and is surrounded by school children,"all x.all y.all z. (Woman(x) & BlueJeans(x) & GroupOfChildren(y) & StoneBuiltHouse(z) -> StandingInFrontOf(x, y) & Beside(x, z))",not exists x. (Lady(x) & StandingOnStreet(x) & SurroundedBySchoolChildren(x)),n,False,False
437,A lady is standing on the street and is surrounded by school children,A man in blue jeans is standing in front of a group of children beside a stone built house,"all x.all y. (Lady(x) & Street(y) -> exists z. (SchoolChild(z) & SurroundedBy(x, z, y)))","all x.all y.all z. (Man(x) & BlueJeans(x) & GroupOfChildren(y) & StoneBuiltHouse(z) -> StandingInFrontOf(x, y) & Beside(x, z))",n,False,False
438,A guy is leaping into the air in wood,A guy is leaping into the air in a wooded area,exists x. (Guy(x) & LeapingIntoAir(x) & InWood(x)),exists x. (Guy(x) & Leaping(x) & IntoAir(x) & WoodedArea(x)),n,False,False
439,A dog is running with a ball,The black dog is carrying a blue and white ball in its mouth,"exists x.exists y. (Dog(x) & Ball(y) & Running(x, y))","all x.all y. (BlackDog(x) & BlueAndWhiteBall(y) -> CarryingInMouth(x, y))",n,False,False
440,The man in blue is posing for a picture next to a vehicle,A man is standing at the wheel of a classic American car that has its door and trunk open,"all x.all y.all z. (Man(x) & Blue(x) & Picture(y) & Vehicle(z) -> PosingNextTo(x, y, z))","exists x. exists y. exists z. (Man(x) & ClassicAmericanCar(y) & Wheel(z) & StandingAt(x, z) & DoorOpen(y) & TrunkOpen(y))",n,False,False
441,A man is skiing down a hill and jumping a red obstacle,A man is snowboarding down a railing in the snow,"exists x. (Man(x) & Skiing(x) & Jumping(x, redObstacle))",exists x. (Man(x) & Snowboarding(x) & DownRailing(x) & InSnow(x)),n,False,False
442,The skateboarder is jumping in the air,A skateboarder is jumping in the air,exists x. (Skateboarder(x) & JumpingInAir(x)),all x. (Skateboarder(x) -> JumpingInAir(x)),e,False,False
443,A snowboarder is grinding down a long concrete rail,A person is doing acrobatics on a snowboard,"all x.all y. (Snowboarder(x) & LongConcreteRail(y) -> Grinding(x, y))","exists x. (Person(x) & Acrobatics(x) & On(x, snowboard))",n,False,False
444,A group of people is walking down the street and a person in a green hat is on the phone,Four people are walking along a city sidewalk and the one in the green hat is phoning someone,exists x. exists y. (Group(x) & Person(y) & WalkingDownStreet(x) & GreenHat(y) & OnPhone(y)),"exists x. exists y. exists z. exists w. (Person(x) & Person(y) & Person(z) & Person(w) & WalkingAlongSidewalk(x, y, z, w) & GreenHat(x) & Phoning(x, w))",n,False,False
445,A surfer is surfing a big wave,A surfer is surfing a huge wave,"all x.all y. (Surfer(x) & Wave(y) & Big(y) -> Surfing(x, y))","all x.all y. (Surfer(x) & Wave(y) & Huge(y) -> Surfing(x, y))",e,False,False
446,A person with a red hooded jacket and a black backpack is walking near a rocky wall,A man in a red jacket and khaki pants is walking through an European state,all x. (Person(x) & RedHoodedJacket(x) & BlackBackpack(x) -> WalkingNearRockyWall(x)),all x. (Man(x) & WearingRedJacket(x) & WearingKhakiPants(x) -> WalkingThroughEuropeanState(x)),n,False,False
447,The players is maneuvering for the soccer ball,A man in green is kicking a soccer ball and a man in purple and white is rising up,"all x.all y. (Player(x) & SoccerBall(y) -> ManeuversFor(x, y))","all x.all y.all z. (Man(x) & Green(x) & SoccerBall(y) & Kicking(x, y) & Man(z) & PurpleAndWhite(z) -> RisingUp(z))",n,False,False
448,The man dressed in leather chaps and a purple shirt is standing in front of someone lookers,A man is wearing a purple shirt and black leather chaps and is posing for the camera,"all x.all y. (Man(x) & DressedInLeatherChaps(x) & PurpleShirt(x) & StandingInFrontOf(x, y) -> Looker(y))",exists x. (Man(x) & WearingPurpleShirt(x) & WearingBlackLeatherChaps(x) & PosingForCamera(x)),n,False,False
449,A dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background,A dog is in the sand that is blowing in the air,"all x. all y. all z. (Dog(x) & SandyArea(y) & Sand(z) & InArea(x, y) & StirredUpIntoAir(z) -> HasPlantsInBackground(x))","exists x. exists y. exists z. (Dog(x) & Sand(y) & Air(z) & In(x, y) & BlowingIn(y, z))",n,False,False
450,No dog is in the sand that is blowing in the wind,A dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background,all x. (Dog(x) & InSand(x) -> not BlowingInWind(x)),"all x. all y. all z. (Dog(x) & SandyArea(y) & Sand(z) & InArea(x, y) & StirredUpIntoAir(z) -> HasPlantsInBackground(x))",c,False,False
451,The black and white dog is running in a green yard,A black and white dog is running outdoors,"all x.all y.all z. (BlackDog(x) & WhiteDog(y) & GreenYard(z) -> RunsIn(x, y, z))",all x. (Dog(x) & Black(x) & White(x) -> RunsOutdoors(x)),e,False,False
452,A dog is jumping into the air in the country,A dog is jumping in the shade of some trees,"exists x. exists y. (Dog(x) & Country(y) & JumpsIntoAir(x, y))","exists x.exists y. (Dog(x) & Tree(y) & JumpsInShade(x, y))",n,False,False
453,A dog is jumping in the shade of some trees,A cat is jumping high into the air in the country,"exists x.exists y. (Dog(x) & Tree(y) & JumpsInShade(x, y))","all x.all y. (Cat(x) & Country(y) -> JumpsHighIntoAir(x, y))",n,False,False
454,A cluster of four brown dogs are playing in a field of brown grass,Four dogs are not playing in a grassy area,"exists x. exists y. exists z. (Cluster(x) & Dog(y) & Dog(z) & Brown(y) & Brown(z) & PlayingIn(y, x) & PlayingIn(z, x))",exists x. (Dog(x) & not PlayingInGrassyArea(x)),c,False,False
455,A big brown and white spotted dog is lying on a jacket on the street,The dog is having a nap in the park,"exists x. (Dog(x) & Big(x) & Brown(x) & WhiteSpotted(x) & LyingOn(x, jacket) & OnStreet(x))","exists x. (Dog(x) & exists y. (Park(y) & Napping(x, y)))",n,False,False
456,A man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up,The rider dressed in orange is driving a motorcycle on one wheel,all x.all y. (Man(x) & YellowSportBike(x) & Wheelie(x) & Friend(y) & BlackBike(y) -> CatchingUp(y)),"all x.all y. (Rider(x) & Motorcycle(y) & DressedInOrange(x) -> DrivingOnOneWheel(x, y))",n,False,False
457,An elder man is sitting on a bench and is wearing a gray jacket and black pants,An elderly man is sitting on a bench,exists x. (ElderMan(x) & SittingOnBench(x) & WearingGrayJacket(x) & WearingBlackPants(x)),"exists x. exists y. (ElderlyMan(x) & Bench(y) & SittingOn(x, y))",e,False,False
458,The woman is holding the paintbrush next to the artist's easel ,The lady is holding the paintbrush next to the artist's easel ,"all x.all y.all z. (Woman(x) & Paintbrush(y) & Artist(z) -> HoldsNextToEasel(x, y, z))","all x.all y.all z. (Lady(x) & Paintbrush(y) & Artist(z) & HoldsNextTo(x, y, z) -> Easel(z))",e,False,False
